央视频道,#genre#
CCTV-1综合,http://127.0.0.1:4022/udp/239.21.1.120:5002
CCTV-2财经,http://127.0.0.1:4022/udp/239.21.1.151:5002
CCTV-3综艺,http://127.0.0.1:4022/udp/239.21.2.45:5002
CCTV-4中文国际,http://127.0.0.1:4022/udp/239.21.1.154:5002
CCTV-5体育,http://127.0.0.1:4022/udp/239.21.2.46:5002
CCTV-6电影,http://127.0.0.1:4022/udp/239.21.2.47:5002
CCTV-7国防军事,http://127.0.0.1:4022/udp/239.21.1.152:5002
CCTV-8电视剧,http://127.0.0.1:4022/udp/239.21.2.48:5002
CCTV-9纪录,http://127.0.0.1:4022/udp/239.21.1.153:5002
CCTV-10科教,http://127.0.0.1:4022/udp/239.21.1.155:5002
CCTV-11戏曲,http://127.0.0.1:4022/udp/239.21.2.2:5002
CCTV-12社会与法,http://127.0.0.1:4022/udp/239.21.1.156:5002
CCTV-13新闻,http://127.0.0.1:4022/udp/239.21.2.3:5002
CCTV-14少儿,http://127.0.0.1:4022/udp/239.21.1.157:5002
CCTV-15音乐,http://127.0.0.1:4022/udp/239.21.2.4:5002
CCTV-5+体育赛事,http://127.0.0.1:4022/udp/239.21.1.142:5002
CCTV-17农业农村,http://127.0.0.1:4022/udp/239.21.1.186:5002
CCTV-4欧洲,http://127.0.0.1:4022/udp/239.21.2.28:5002
CCTV-4美洲,http://127.0.0.1:4022/udp/239.21.2.29:5002
NHKWorld,http://127.0.0.1:4022/udp/239.21.1.98:5002
CGTN,http://127.0.0.1:4022/udp/239.21.2.30:5002
CGTN英文记录片,http://127.0.0.1:4022/udp/239.21.2.31:5002
CGTN西班牙语,http://127.0.0.1:4022/udp/239.21.2.32:5002
CGTN法语,http://127.0.0.1:4022/udp/239.21.2.33:5002
CGTN阿拉伯语,http://127.0.0.1:4022/udp/239.21.2.34:5002
CGTN俄语,http://127.0.0.1:4022/udp/239.21.2.35:5002

卫视频道,#genre#
山东卫视,http://127.0.0.1:4022/udp/239.21.1.87:5002
北京卫视,http://127.0.0.1:4022/udp/239.21.1.88:5002
江苏卫视,http://127.0.0.1:4022/udp/239.21.1.89:5002
浙江卫视,http://127.0.0.1:4022/udp/239.21.1.90:5002
广东卫视,http://127.0.0.1:4022/udp/239.21.1.92:5002
深圳卫视,http://127.0.0.1:4022/udp/239.21.1.93:5002
东方卫视,http://127.0.0.1:4022/udp/239.21.1.111:5002
东南卫视,http://127.0.0.1:4022/udp/239.21.1.113:5002
湖南卫视,http://127.0.0.1:4022/udp/239.21.1.158:5002
湖北卫视,http://127.0.0.1:4022/udp/239.21.1.163:5002
安徽卫视,http://127.0.0.1:4022/udp/239.21.1.159:5002
重庆卫视,http://127.0.0.1:4022/udp/239.21.1.233:5002
河南卫视,http://127.0.0.1:4022/udp/239.21.1.108:5002#http://127.0.0.1:4022/udp/239.21.2.37:5002
河北卫视,http://127.0.0.1:4022/udp/239.21.1.168:5002
天津卫视,http://127.0.0.1:4022/udp/239.21.1.165:5002
海南卫视,http://127.0.0.1:4022/udp/239.21.2.14:5002
云南卫视,http://127.0.0.1:4022/udp/239.21.2.86:5002
四川卫视,http://127.0.0.1:4022/udp/239.21.2.15:5002
江西卫视,http://127.0.0.1:4022/udp/239.21.1.167:5002
广西卫视,http://127.0.0.1:4022/udp/239.21.2.87:5002
甘肃卫视,http://127.0.0.1:4022/udp/239.21.2.22:5002#http://127.0.0.1:4022/udp/239.21.2.55:5002
贵州卫视,http://127.0.0.1:4022/udp/239.21.1.166:5002
青海卫视,http://127.0.0.1:4022/udp/239.21.2.51:5002#http://127.0.0.1:4022/udp/239.21.2.85:5002
黑龙江卫视,http://127.0.0.1:4022/udp/239.21.1.91:5002
吉林卫视,http://127.0.0.1:4022/udp/239.21.2.49:5002
辽宁卫视,http://127.0.0.1:4022/udp/239.21.1.164:5002
凤凰中文,http://127.0.0.1:4022/udp/239.21.2.153:5002
陕西卫视-SD,http://127.0.0.1:4022/udp/239.21.1.30:5002
山西卫视-SD,http://127.0.0.1:4022/udp/239.21.1.33:5002
内蒙古卫视-SD,http://127.0.0.1:4022/udp/239.21.1.41:5002
宁夏卫视-SD,http://127.0.0.1:4022/udp/239.21.1.44:5002
